o_zone_id,d_zone_id,volume
47,66,10
47,67,10
47,68,10
47,70,10
47,73,10
47,77,10
47,86,10
47,87,10
47,88,10
47,90,10
47,96,10
47,97,10
47,98,10
47,99,10
47,102,10
47,103,10
47,105,10
47,106,10
47,167,10
47,231,10
47,248,10
47,249,10
47,392,10
47,496,10
47,499,10
47,501,10
47,515,10
47,529,10
47,532,10
47,547,10
47,548,10
47,558,10
47,562,10
47,563,10
47,584,10
47,613,10
47,614,10
47,655,10
47,660,10
47,661,10
47,666,10
47,668,10
47,679,10
47,684,10
47,687,10
47,751,10
47,758,10
47,785,10
47,786,10
47,796,10
47,815,10
47,828,10
47,829,10
47,830,10
47,857,10
47,863,10
47,864,10
47,868,10
47,869,10
47,878,10
47,880,10
47,913,10
47,925,10
47,956,10
47,966,10
47,973,10
47,980,10
47,1010,10
47,1012,10
47,1017,10
47,1026,10
47,1160,10
47,1164,10
47,1166,10
47,1211,10
47,1246,10
47,1253,10
47,1270,10
47,1272,10
47,1273,10
47,1274,10
47,1276,10
47,1319,10
47,1324,10
47,1330,10
47,1348,10
47,1354,10
47,1369,10
47,1382,10
47,1383,10
47,1389,10
47,1397,10
47,1399,10
47,1415,10
47,1416,10
47,1450,10
47,1451,10
47,1452,10
47,1453,10
47,1454,10
47,1455,10
47,1456,10
47,1462,10
47,1463,10
47,1500,10
47,1518,10
47,1519,10
47,1528,10
47,1529,10
47,1531,10
47,1545,10
47,1547,10
47,1548,10
47,1549,10
47,1555,10
47,1556,10
47,1557,10
47,1558,10
47,1559,10
47,1562,10
47,1564,10
47,1565,10
47,1566,10
47,1570,10
47,1573,10
47,1577,10
47,1581,10
47,1584,10
47,1589,10
47,1650,10
47,1659,10
47,1663,10
47,1673,10
47,1703,10
47,1706,10
47,1707,10
47,1708,10
47,1720,10
47,1726,10
47,1800,10
47,1833,10
47,1846,10
47,1866,10
47,1867,10
47,1868,10
47,1875,10
47,1876,10
47,1879,10
47,1885,10
47,1896,10
47,1897,10
47,1898,10
47,1900,10
47,1911,10
47,1912,10
47,1913,10
47,1915,10
47,1919,10
47,1920,10
47,1923,10
66,47,10
66,67,10
66,68,10
66,70,10
66,73,10
66,77,10
66,86,10
66,87,10
66,88,10
66,90,10
66,96,10
66,97,10
66,98,10
66,99,10
66,102,10
66,103,10
66,105,10
66,106,10
66,167,10
66,231,10
66,248,10
66,249,10
66,392,10
66,496,10
66,499,10
66,501,10
66,515,10
66,529,10
66,532,10
66,547,10
66,548,10
66,558,10
66,562,10
66,563,10
66,584,10
66,613,10
66,614,10
66,655,10
66,660,10
66,661,10
66,666,10
66,668,10
66,679,10
66,684,10
66,687,10
66,751,10
66,758,10
66,785,10
66,786,10
66,796,10
66,815,10
66,828,10
66,829,10
66,830,10
66,857,10
66,863,10
66,864,10
66,868,10
66,869,10
66,878,10
66,880,10
66,913,10
66,925,10
66,956,10
66,966,10
66,973,10
66,980,10
66,1010,10
66,1012,10
66,1017,10
66,1026,10
66,1160,10
66,1164,10
66,1166,10
66,1211,10
66,1246,10
66,1253,10
66,1270,10
66,1272,10
66,1273,10
66,1274,10
66,1276,10
66,1319,10
66,1324,10
66,1330,10
66,1348,10
66,1354,10
66,1369,10
66,1382,10
66,1383,10
66,1389,10
66,1397,10
66,1399,10
66,1415,10
66,1416,10
66,1450,10
66,1451,10
66,1452,10
66,1453,10
66,1454,10
66,1455,10
66,1456,10
66,1462,10
66,1463,10
66,1500,10
66,1518,10
66,1519,10
66,1528,10
66,1529,10
66,1531,10
66,1545,10
66,1547,10
66,1548,10
66,1549,10
66,1555,10
66,1556,10
66,1557,10
66,1558,10
66,1559,10
66,1562,10
66,1564,10
66,1565,10
66,1566,10
66,1570,10
66,1573,10
66,1577,10
66,1581,10
66,1584,10
66,1589,10
66,1650,10
66,1659,10
66,1663,10
66,1673,10
66,1703,10
66,1706,10
66,1707,10
66,1708,10
66,1720,10
66,1726,10
66,1800,10
66,1833,10
66,1846,10
66,1866,10
66,1867,10
66,1868,10
66,1875,10
66,1876,10
66,1879,10
66,1885,10
66,1896,10
66,1897,10
66,1898,10
66,1900,10
66,1911,10
66,1912,10
66,1913,10
66,1915,10
66,1919,10
66,1920,10
66,1923,10
67,47,10
67,66,10
67,68,10
67,70,10
67,73,10
67,77,10
67,86,10
67,87,10
67,88,10
67,90,10
67,96,10
67,97,10
67,98,10
67,99,10
67,102,10
67,103,10
67,105,10
67,106,10
67,167,10
67,231,10
67,248,10
67,249,10
67,392,10
67,496,10
67,499,10
67,501,10
67,515,10
67,529,10
67,532,10
67,547,10
67,548,10
67,558,10
67,562,10
67,563,10
67,584,10
67,613,10
67,614,10
67,655,10
67,660,10
67,661,10
67,666,10
67,668,10
67,679,10
67,684,10
67,687,10
67,751,10
67,758,10
67,785,10
67,786,10
67,796,10
67,815,10
67,828,10
67,829,10
67,830,10
67,857,10
67,863,10
67,864,10
67,868,10
67,869,10
67,878,10
67,880,10
67,913,10
67,925,10
67,956,10
67,966,10
67,973,10
67,980,10
67,1010,10
67,1012,10
67,1017,10
67,1026,10
67,1160,10
67,1164,10
67,1166,10
67,1211,10
67,1246,10
67,1253,10
67,1270,10
67,1272,10
67,1273,10
67,1274,10
67,1276,10
67,1319,10
67,1324,10
67,1330,10
67,1348,10
67,1354,10
67,1369,10
67,1382,10
67,1383,10
67,1389,10
67,1397,10
67,1399,10
67,1415,10
67,1416,10
67,1450,10
67,1451,10
67,1452,10
67,1453,10
67,1454,10
67,1455,10
67,1456,10
67,1462,10
67,1463,10
67,1500,10
67,1518,10
67,1519,10
67,1528,10
67,1529,10
67,1531,10
67,1545,10
67,1547,10
67,1548,10
67,1549,10
67,1555,10
67,1556,10
67,1557,10
67,1558,10
67,1559,10
67,1562,10
67,1564,10
67,1565,10
67,1566,10
67,1570,10
67,1573,10
67,1577,10
67,1581,10
67,1584,10
67,1589,10
67,1650,10
67,1659,10
67,1663,10
67,1673,10
67,1703,10
67,1706,10
67,1707,10
67,1708,10
67,1720,10
67,1726,10
67,1800,10
67,1833,10
67,1846,10
67,1866,10
67,1867,10
67,1868,10
67,1875,10
67,1876,10
67,1879,10
67,1885,10
67,1896,10
67,1897,10
67,1898,10
67,1900,10
67,1911,10
67,1912,10
67,1913,10
67,1915,10
67,1919,10
67,1920,10
67,1923,10
68,47,10
68,66,10
68,67,10
68,70,10
68,73,10
68,77,10
68,86,10
68,87,10
68,88,10
68,90,10
68,96,10
68,97,10
68,98,10
68,99,10
68,102,10
68,103,10
68,105,10
68,106,10
68,167,10
68,231,10
68,248,10
68,249,10
68,392,10
68,496,10
68,499,10
68,501,10
68,515,10
68,529,10
68,532,10
68,547,10
68,548,10
68,558,10
68,562,10
68,563,10
68,584,10
68,613,10
68,614,10
68,655,10
68,660,10
68,661,10
68,666,10
68,668,10
68,679,10
68,684,10
68,687,10
68,751,10
68,758,10
68,785,10
68,786,10
68,796,10
68,815,10
68,828,10
68,829,10
68,830,10
68,857,10
68,863,10
68,864,10
68,868,10
68,869,10
68,878,10
68,880,10
68,913,10
68,925,10
68,956,10
68,966,10
68,973,10
68,980,10
68,1010,10
68,1012,10
68,1017,10
68,1026,10
68,1160,10
68,1164,10
68,1166,10
68,1211,10
68,1246,10
68,1253,10
68,1270,10
68,1272,10
68,1273,10
68,1274,10
68,1276,10
68,1319,10
68,1324,10
68,1330,10
68,1348,10
68,1354,10
68,1369,10
68,1382,10
68,1383,10
68,1389,10
68,1397,10
68,1399,10
68,1415,10
68,1416,10
68,1450,10
68,1451,10
68,1452,10
68,1453,10
68,1454,10
